run,thread_Dedup,thread_Swaptions,startTime,end_Dedup,end_Swaptions
0,32,32,1522222681.7,1522222720.0,1522222712.2
0,16,32,1522222720.1,1522222758.4,1522222750.8
0,8,32,1522222758.5,1522222796.0,1522222790.9
0,4,32,1522222796.1,1522222831.8,1522222826.9
0,2,32,1522222831.9,1522222872.2,1522222864.4
0,32,16,1522222872.3,1522222909.5,1522222901.7
0,16,16,1522222909.6,1522222945.4,1522222939.6
0,8,16,1522222945.5,1522222980.5,1522222975.8
0,4,16,1522222980.6,1522223014.3,1522223011.1
0,2,16,1522223014.4,1522223052.4,1522223045.2
0,32,8,1522223052.6,1522223083.4,1522223108.9
0,16,8,1522223109.0,1522223144.2,1522223166.6
0,8,8,1522223166.7,1522223207.5,1522223228.7
0,4,8,1522223228.8,1522223260.8,1522223288.2
0,2,8,1522223288.3,1522223316.1,1522223347.9
0,32,4,1522223348.0,1522223372.0,1522223433.7
0,16,4,1522223433.8,1522223454.5,1522223518.5
0,8,4,1522223518.6,1522223573.4,1522223613.3
0,4,4,1522223613.4,1522223627.1,1522223699.1
0,2,4,1522223699.2,1522223714.8,1522223783.2
0,32,2,1522223783.3,1522223802.6,1522223946.1
0,16,2,1522223946.2,1522224087.7,1522224136.8
0,8,2,1522224136.9,1522224155.1,1522224301.4
0,4,2,1522224301.5,1522224314.0,1522224464.4
0,2,2,1522224464.5,1522224478.4,1522224627.7
0,32,1,1522224627.8,1522224645.4,1522224951.6
0,16,1,1522224951.7,1522224966.7,1522225277.1
0,8,1,1522225277.2,1522225287.4,1522225600.9
0,4,1,1522225601.0,1522225611.4,1522225923.6
0,2,1,1522225923.7,1522225937.0,1522226248.0
1,32,32,1522226248.1,1522226302.9,1522226292.6
1,16,32,1522226303.0,1522226431.9,1522226345.2
1,8,32,1522226432.0,1522226471.9,1522226467.3
1,4,32,1522226472.0,1522226512.3,1522226506.2
1,2,32,1522226512.4,1522226558.5,1522226549.4
1,32,16,1522226558.6,1522226603.3,1522226594.6
1,16,16,1522226603.4,1522226646.2,1522226639.4
1,8,16,1522226646.3,1522226688.2,1522226682.0
1,4,16,1522226688.4,1522226729.2,1522226724.2
1,2,16,1522226729.3,1522226773.3,1522226765.4
1,32,8,1522226773.4,1522226793.3,1522226823.7
1,16,8,1522226823.8,1522226845.7,1522226874.9
1,8,8,1522226875.0,1522226892.3,1522226928.6
1,4,8,1522226928.7,1522226943.3,1522226979.3
1,2,8,1522226979.4,1522226994.5,1522227027.4
1,32,4,1522227027.5,1522227041.9,1522227109.7
1,16,4,1522227109.8,1522227123.2,1522227191.8
1,8,4,1522227191.9,1522227201.7,1522227274.1
1,4,4,1522227274.2,1522227283.7,1522227356.3
1,2,4,1522227356.4,1522227371.7,1522227440.7
1,32,2,1522227440.8,1522227458.8,1522227603.0
1,16,2,1522227603.2,1522227619.5,1522227765.2
1,8,2,1522227765.3,1522227784.9,1522227929.7
1,4,2,1522227929.8,1522227941.6,1522228091.9
1,2,2,1522228092.0,1522228105.7,1522228255.6
1,32,1,1522228255.7,1522228273.3,1522228577.8
1,16,1,1522228577.9,1522228592.8,1522228900.9
1,8,1,1522228901.0,1522228911.5,1522229224.7
1,4,1,1522229224.8,1522229235.2,1522229547.4
1,2,1,1522229547.5,1522229561.1,1522229870.3
2,32,32,1522229870.4,1522229923.8,1522229912.2
2,16,32,1522229923.9,1522229973.0,1522229961.8
2,8,32,1522229973.1,1522230022.0,1522230013.1
2,4,32,1522230022.1,1522230073.7,1522230068.0
2,2,32,1522230073.8,1522230126.4,1522230116.7
2,32,16,1522230126.5,1522230179.5,1522230167.7
2,16,16,1522230179.6,1522230234.2,1522230223.5
2,8,16,1522230234.3,1522230280.9,1522230273.0
2,4,16,1522230281.0,1522230328.6,1522230322.6
2,2,16,1522230328.7,1522230380.4,1522230370.4
2,32,8,1522230380.5,1522230422.0,1522230439.2
2,16,8,1522230439.3,1522230591.3,1522230503.1
2,8,8,1522230591.4,1522230632.1,1522230650.2
2,4,8,1522230650.3,1522230681.5,1522230708.7
2,2,8,1522230708.8,1522230735.9,1522230768.1
2,32,4,1522230768.3,1522230791.1,1522230853.7
2,16,4,1522230853.8,1522230866.7,1522230935.8
2,8,4,1522230935.9,1522230944.0,1522231018.1
2,4,4,1522231018.2,1522231027.1,1522231100.0
2,2,4,1522231100.1,1522231113.2,1522231182.2
2,32,2,1522231182.3,1522231195.0,1522231345.4
2,16,2,1522231345.5,1522231357.3,1522231508.7
2,8,2,1522231508.8,1522231516.8,1522231671.6
2,4,2,1522231671.7,1522231680.3,1522231835.1
2,2,2,1522231835.2,1522231848.6,1522231997.8
2,32,1,1522231997.9,1522232010.2,1522232322.9
2,16,1,1522232323.0,1522232334.9,1522232644.4
2,8,1,1522232644.5,1522232652.0,1522232965.7
2,4,1,1522232965.8,1522232975.4,1522233288.8
2,2,1,1522233288.9,1522233302.1,1522233611.1
3,32,32,1522233611.2,1522233649.6,1522233641.7
3,16,32,1522233649.7,1522233687.0,1522233680.3
3,8,32,1522233687.1,1522233723.6,1522233717.9
3,4,32,1522233723.7,1522233759.0,1522233754.0
3,2,32,1522233759.1,1522233798.6,1522233790.0
3,32,16,1522233798.7,1522233836.9,1522233829.9
3,16,16,1522233837.0,1522233873.3,1522233867.1
3,8,16,1522233873.4,1522233905.4,1522233902.3
3,4,16,1522233905.5,1522233939.3,1522233934.7
3,2,16,1522233939.4,1522233977.1,1522233969.6
3,32,8,1522233977.2,1522233993.1,1522234022.3
3,16,8,1522234022.4,1522234038.0,1522234067.3
3,8,8,1522234067.4,1522234079.9,1522234115.6
3,4,8,1522234115.7,1522234126.6,1522234158.4
3,2,8,1522234158.5,1522234172.2,1522234200.6
3,32,4,1522234200.7,1522234214.1,1522234282.9
3,16,4,1522234283.0,1522234295.9,1522234364.8
3,8,4,1522234364.9,1522234375.3,1522234447.5
3,4,4,1522234447.6,1522234456.4,1522234532.7
3,2,4,1522234532.8,1522234546.2,1522234621.3
3,32,2,1522234621.4,1522234634.3,1522234784.8
3,16,2,1522234784.9,1522234797.3,1522234947.9
3,8,2,1522234948.0,1522234955.7,1522235110.3
3,4,2,1522235110.4,1522235119.4,1522235273.9
3,2,2,1522235274.0,1522235287.4,1522235437.3
3,32,1,1522235437.4,1522235450.0,1522235760.8
3,16,1,1522235760.9,1522235773.0,1522236083.1
3,8,1,1522236083.2,1522236092.5,1522236404.8
3,4,1,1522236404.9,1522236415.6,1522236727.6
3,2,1,1522236727.7,1522236741.9,1522237050.6
4,32,32,1522237050.7,1522237102.8,1522237089.4
4,16,32,1522237102.9,1522237158.3,1522237147.7
4,8,32,1522237158.4,1522237212.1,1522237203.8
4,4,32,1522237212.2,1522237260.2,1522237254.0
4,2,32,1522237260.3,1522237311.9,1522237302.2
4,32,16,1522237312.0,1522237366.2,1522237352.6
4,16,16,1522237366.3,1522237417.2,1522237406.5
4,8,16,1522237417.3,1522237464.3,1522237458.7
4,4,16,1522237464.4,1522237512.3,1522237506.7
4,2,16,1522237512.4,1522237564.9,1522237555.1
4,32,8,1522237565.0,1522237610.3,1522237628.8
4,16,8,1522237629.0,1522237668.2,1522237688.8
4,8,8,1522237688.9,1522237718.2,1522237747.2
4,4,8,1522237747.3,1522237779.7,1522237806.2
4,2,8,1522237806.3,1522237835.7,1522237866.8
4,32,4,1522237866.9,1522237893.4,1522237955.0
4,16,4,1522237955.1,1522237978.1,1522238040.9
4,8,4,1522238041.0,1522238062.4,1522238129.1
4,4,4,1522238129.2,1522238147.7,1522238215.7
4,2,4,1522238215.8,1522238232.3,1522238301.1
4,32,2,1522238301.2,1522238322.4,1522238464.6
4,16,2,1522238464.7,1522238484.2,1522238627.7
4,8,2,1522238627.8,1522238651.7,1522238795.5
4,4,2,1522238795.6,1522238807.9,1522238957.9
4,2,2,1522238958.0,1522238972.5,1522239120.8
4,32,1,1522239120.9,1522239139.9,1522239443.8
