run,thread,app,startTime,endTime
0,32,dedup,1522213359.9,1522213375.9
0,32,swaptions,1522213375.9,1522213416.8
0,16,dedup,1522213416.8,1522213430.7
0,16,swaptions,1522213430.7,1522213469.7
0,8,dedup,1522213469.7,1522213480.8
0,8,swaptions,1522213480.8,1522213538.1
0,4,dedup,1522213538.1,1522213548.0
0,4,swaptions,1522213548.0,1522213629.8
0,2,dedup,1522213629.8,1522213643.1
0,2,swaptions,1522213643.1,1522213803.6
0,1,dedup,1522213803.6,1522213826.7
0,1,swaptions,1522213826.7,1522214150.2
1,32,dedup,1522214150.2,1522214166.2
1,32,swaptions,1522214166.2,1522214209.3
1,16,dedup,1522214209.3,1522214223.0
1,16,swaptions,1522214223.0,1522214267.8
1,8,dedup,1522214267.8,1522214278.9
1,8,swaptions,1522214278.9,1522214334.9
1,4,dedup,1522214334.9,1522214344.6
1,4,swaptions,1522214344.6,1522214427.1
1,2,dedup,1522214427.1,1522214440.2
1,2,swaptions,1522214440.2,1522214600.7
1,1,dedup,1522214600.7,1522214623.6
1,1,swaptions,1522214623.6,1522214946.3
2,32,dedup,1522214946.3,1522214963.0
2,32,swaptions,1522214963.0,1522215003.3
2,16,dedup,1522215003.3,1522215017.8
2,16,swaptions,1522215017.8,1522215064.7
2,8,dedup,1522215064.7,1522215075.3
2,8,swaptions,1522215075.3,1522215132.7
2,4,dedup,1522215132.7,1522215142.4
2,4,swaptions,1522215142.4,1522215224.7
2,2,dedup,1522215224.7,1522215237.7
2,2,swaptions,1522215237.7,1522215398.6
2,1,dedup,1522215398.6,1522215421.6
2,1,swaptions,1522215421.6,1522215747.5
3,32,dedup,1522215747.5,1522215759.8
3,32,swaptions,1522215759.8,1522215789.7
3,16,dedup,1522215789.7,1522215800.3
3,16,swaptions,1522215800.3,1522215829.8
3,8,dedup,1522215829.8,1522215837.2
3,8,swaptions,1522215837.2,1522215881.5
3,4,dedup,1522215881.5,1522215890.2
3,4,swaptions,1522215890.2,1522215978.4
3,2,dedup,1522215978.4,1522215992.2
3,2,swaptions,1522215992.2,1522216155.2
3,1,dedup,1522216155.2,1522216178.7
3,1,swaptions,1522216178.7,1522216507.0
4,32,dedup,1522216507.0,1522216520.5
4,32,swaptions,1522216520.5,1522216548.5
4,16,dedup,1522216548.5,1522216560.3
4,16,swaptions,1522216560.3,1522216592.0
4,8,dedup,1522216592.0,1522216600.7
4,8,swaptions,1522216600.7,1522216644.9
4,4,dedup,1522216644.9,1522216653.2
4,4,swaptions,1522216653.2,1522216735.4
4,2,dedup,1522216735.4,1522216748.8
4,2,swaptions,1522216748.8,1522216912.0
4,1,dedup,1522216912.0,1522216935.7
4,1,swaptions,1522216935.7,1522217261.1
5,32,dedup,1522217261.1,1522217273.4
5,32,swaptions,1522217273.4,1522217303.6
5,16,dedup,1522217303.6,1522217313.8
5,16,swaptions,1522217313.8,1522217347.2
5,8,dedup,1522217347.2,1522217359.9
5,8,swaptions,1522217359.9,1522217415.6
5,4,dedup,1522217415.6,1522217425.5
5,4,swaptions,1522217425.5,1522217514.7
5,2,dedup,1522217514.7,1522217528.0
5,2,swaptions,1522217528.0,1522217690.9
5,1,dedup,1522217690.9,1522217713.9
5,1,swaptions,1522217713.9,1522218037.9
6,32,dedup,1522218037.9,1522218053.7
6,32,swaptions,1522218053.7,1522218094.4
6,16,dedup,1522218094.4,1522218108.2
6,16,swaptions,1522218108.2,1522218149.4
6,8,dedup,1522218149.4,1522218158.3
6,8,swaptions,1522218158.3,1522218216.1
6,4,dedup,1522218216.1,1522218226.4
6,4,swaptions,1522218226.4,1522218308.8
6,2,dedup,1522218308.8,1522218322.0
6,2,swaptions,1522218322.0,1522218483.4
6,1,dedup,1522218483.4,1522218506.7
6,1,swaptions,1522218506.7,1522218828.7
7,32,dedup,1522218828.7,1522218844.1
7,32,swaptions,1522218844.1,1522218884.3
7,16,dedup,1522218884.3,1522218897.4
7,16,swaptions,1522218897.4,1522218941.4
7,8,dedup,1522218941.4,1522218950.4
7,8,swaptions,1522218950.4,1522219005.5
7,4,dedup,1522219005.5,1522219015.4
7,4,swaptions,1522219015.4,1522219098.2
7,2,dedup,1522219098.2,1522219111.3
7,2,swaptions,1522219111.3,1522219271.8
7,1,dedup,1522219271.8,1522219294.9
7,1,swaptions,1522219294.9,1522219616.9
8,32,dedup,1522219616.9,1522219632.4
8,32,swaptions,1522219632.4,1522219675.3
8,16,dedup,1522219675.3,1522219688.7
8,16,swaptions,1522219688.7,1522219734.0
8,8,dedup,1522219734.0,1522219746.5
8,8,swaptions,1522219746.5,1522219802.9
8,4,dedup,1522219802.9,1522219812.8
8,4,swaptions,1522219812.8,1522219895.4
8,2,dedup,1522219895.4,1522219908.5
8,2,swaptions,1522219908.5,1522220068.7
8,1,dedup,1522220068.7,1522220091.8
8,1,swaptions,1522220091.8,1522220411.5
9,32,dedup,1522220411.5,1522220423.3
9,32,swaptions,1522220423.3,1522220452.9
9,16,dedup,1522220452.9,1522220464.6
9,16,swaptions,1522220464.6,1522220494.3
9,8,dedup,1522220494.3,1522220503.2
9,8,swaptions,1522220503.2,1522220544.4
9,4,dedup,1522220544.4,1522220553.6
9,4,swaptions,1522220553.6,1522220635.7
9,2,dedup,1522220635.7,1522220649.0
9,2,swaptions,1522220649.0,1522220811.4
9,1,dedup,1522220811.4,1522220834.7
9,1,swaptions,1522220834.7,1522221158.1
