time,cpu-clock,context-switches,cpu-migrations,page-faults,user,nice,system,idle,iowait,irq,softirq,steal
1522222607.1,16027.1,87,1,130,3252851,455,137775,125019146,39079,0,668,228353
1522222608.1,16023.0,67,1,29,3252851,455,137777,125020792,39079,0,668,228353
1522222609.2,16035.9,106,1,203,3252852,455,137780,125022439,39079,0,668,228353
1522222610.2,16019.8,81,1,10,3252853,455,137782,125024081,39079,0,668,228353
1522222611.2,16033.0,80,3,203,3252853,455,137784,125025725,39079,0,668,228353
1522222612.3,16032.2,108,1,203,3252855,455,137786,125027369,39079,0,668,228354
1522222613.3,16031.4,84,3,221,3252855,455,137788,125029012,39079,0,668,228354
1522222614.3,16017.6,84,0,31,3252856,455,137790,125030652,39079,0,668,228354
1522222615.3,16025.1,78,3,172,3252857,455,137791,125032292,39079,0,668,228355
1522222616.4,16030.7,104,1,203,3252857,455,137794,125033931,39079,0,668,228355
1522222617.4,16019.4,73,1,61,3252858,455,137795,125035569,39079,0,668,228355
1522222618.4,16032.7,79,2,203,3252858,455,137796,125037207,39079,0,668,228355
1522222619.4,16029.4,110,4,203,3252859,455,137798,125038849,39079,0,668,228355
1522222620.5,16029.9,110,3,203,3252860,455,137800,125040489,39079,0,668,228355
1522222621.5,16017.5,81,1,10,3252861,455,137802,125042128,39079,0,668,228355
1522222622.5,16029.8,72,1,203,3252861,455,137804,125043771,39079,0,668,228356
1522222623.6,16018.1,90,1,28,3252862,455,137805,125045408,39079,0,668,228356
1522222624.6,16034.6,118,1,203,3252862,455,137807,125047049,39079,0,668,228356
1522222625.6,16027.1,80,3,173,3252863,455,137809,125048689,39079,0,668,228356
1522222626.6,16017.3,74,1,10,3252864,455,137811,125050331,39079,0,668,228357
1522222627.7,16031.1,70,1,203,3252864,455,137813,125051974,39079,0,668,228357
1522222628.7,16031.2,104,1,203,3252865,455,137815,125053614,39079,0,668,228357
1522222629.7,16039.9,87,1,202,3252866,455,137817,125055255,39079,0,668,228358
1522222630.8,16029.7,72,1,203,3252866,455,137818,125056896,39079,0,668,228358
1522222631.8,16032.3,77,2,173,3252866,455,137820,125058537,39079,0,668,228358
1522222632.8,16032.8,104,1,202,3252867,455,137822,125060180,39079,0,668,228358
1522222633.8,16018.2,82,1,52,3252868,455,137824,125061820,39079,0,668,228358
1522222634.9,16030.7,98,2,203,3252869,455,137826,125063461,39079,0,668,228358
1522222635.9,16018.3,75,1,68,3252869,455,137827,125065101,39079,0,668,228358
1522222636.9,16021.1,105,0,134,3252870,455,137830,125066740,39079,0,668,228358
1522222637.9,16020.6,76,1,10,3252870,455,137832,125068381,39079,0,668,228358
1522222639.0,16021.1,78,0,149,3252871,455,137833,125070023,39079,0,668,228358
1522222640.0,16028.7,81,1,203,3252873,455,137835,125071664,39079,0,668,228358
1522222641.0,16029.6,110,3,203,3252873,455,137837,125073304,39079,0,668,228359
1522222642.1,16031.7,74,1,203,3252874,455,137838,125074945,39079,0,668,228359
1522222643.1,16017.1,83,0,60,3252875,455,137840,125076583,39079,0,668,228359
1522222644.1,16032.1,74,1,203,3252876,455,137842,125078223,39079,0,668,228359
1522222645.1,16029.2,117,1,203,3252877,455,137844,125079865,39079,0,668,228359
1522222646.2,16017.0,71,0,10,3252877,455,137846,125081503,39079,0,668,228359
1522222647.2,16028.9,116,6,515,3252878,455,137848,125083143,39079,0,668,228359
1522222648.2,16028.6,106,1,203,3252879,455,137849,125084783,39079,0,668,228359
1522222649.2,16032.4,106,3,203,3252880,455,137852,125086424,39079,0,668,228359
1522222650.3,16027.4,120,4,583,3252881,455,137853,125088064,39079,0,668,228360
1522222651.3,16015.8,70,0,10,3252882,455,137855,125089703,39079,0,668,228360
1522222652.3,16016.6,150,0,34,3252883,455,137857,125091344,39079,0,668,228360
1522222653.4,16028.3,82,2,221,3252883,455,137859,125092987,39079,0,668,228360
1522222654.4,16030.3,102,4,175,3252884,455,137861,125094628,39079,0,668,228360
1522222655.4,16028.4,144,2,205,3252885,455,137863,125096267,39079,0,668,228360
1522222656.4,16023.0,148,4,174,3252885,455,137865,125097908,39079,0,668,228360
1522222657.5,16026.7,135,7,1807,3252889,455,137867,125099544,39079,0,668,228360
1522222658.5,16029.7,111,1,206,3252890,455,137869,125101185,39079,0,668,228360
1522222659.5,16017.1,114,1,10,3252891,455,137871,125102823,39079,0,668,228360
1522222660.5,16030.6,129,1,203,3252892,455,137873,125104464,39079,0,668,228360
1522222661.6,16028.0,73,1,203,3252892,455,137875,125106102,39079,0,668,228360
1522222662.6,16033.6,74,2,203,3252893,455,137876,125107740,39079,0,669,228360
1522222663.6,16032.1,90,1,221,3252894,455,137878,125109379,39079,0,669,228360
1522222664.7,16024.7,114,3,172,3252894,455,137880,125111020,39079,0,669,228360
1522222665.7,16030.0,111,1,257,3252895,455,137882,125112660,39079,0,669,228360
1522222666.7,16021.1,72,2,74,3252896,455,137884,125114297,39079,0,669,228361
1522222667.7,16024.2,74,1,174,3252896,455,137886,125115936,39079,0,669,228361
1522222668.8,16020.3,134,1,10,3252898,455,137888,125117575,39079,0,669,228361
1522222669.8,16029.4,292,67,7294,3252899,455,137893,125119211,39079,0,669,228361
1522222670.8,16019.2,75,2,17,3252900,455,137895,125120850,39079,0,669,228361
1522222671.8,16030.9,72,1,203,3252900,455,137897,125122492,39079,0,669,228361
1522222672.9,16033.5,133,1,207,3252901,455,137899,125124132,39079,0,669,228361
1522222673.9,16032.5,83,3,221,3252902,455,137901,125125772,39079,0,669,228361
1522222674.9,16023.2,106,1,129,3252903,455,137903,125127411,39079,0,669,228361
1522222675.9,16019.9,153,0,130,3252904,455,137905,125129051,39079,0,669,228361
1522222677.0,16029.3,111,1,203,3252905,455,137907,125130691,39079,0,669,228361
1522222678.0,16019.9,92,2,117,3252905,455,137909,125132330,39079,0,669,228361
1522222679.0,16027.6,123,3,174,3252906,455,137911,125133971,39079,0,669,228361
1522222680.1,16028.8,110,2,202,3252907,455,137912,125135610,39079,0,669,228361
1522222681.1,16018.3,160,1,10,3252908,455,137914,125137249,39079,0,669,228361
1522222682.1,16028.4,3988,946,181232,3252941,455,137959,125138810,39079,0,669,228362
1522222683.2,16202.2,3380,407,61407,3254302,455,138025,125139064,39079,0,669,228362
1522222684.4,16160.2,1361,13,203,3256110,455,138077,125139064,39079,0,669,228364
1522222685.6,16188.4,1578,26,1011,3257988,455,138121,125139064,39079,0,669,228367
1522222686.8,16255.5,2457,39,1384,3259834,455,138123,125139064,39079,0,669,228370
1522222688.0,16304.4,2679,37,1036,3261786,455,138124,125139064,39079,0,669,228372
1522222689.3,16109.3,2794,31,1144,3263766,455,138126,125139064,39079,0,669,228377
1522222690.5,16049.5,2956,47,966,3265612,455,138132,125139064,39079,0,669,228379
1522222691.6,16055.0,2496,52,800,3267354,455,138137,125139064,39079,0,669,228382
1522222692.8,16325.9,2573,47,836,3269287,455,138141,125139064,39079,0,669,228386
1522222694.0,16032.3,2545,34,877,3271157,455,138142,125139064,39079,0,669,228388
1522222695.2,16221.8,2265,27,772,3273021,455,138143,125139064,39079,0,669,228391
1522222696.5,16302.0,2494,38,881,3274977,455,138145,125139064,39079,0,669,228393
1522222697.7,16091.6,2423,29,898,3276858,455,138146,125139064,39079,0,669,228395
1522222698.9,16321.5,2534,35,1137,3278856,455,138148,125139064,39079,0,669,228396
1522222700.2,16305.2,2650,28,982,3280831,455,138149,125139064,39079,0,669,228397
1522222701.4,16379.0,2779,32,1067,3282725,455,138150,125139064,39079,0,669,228398
1522222702.6,16227.0,2894,80,8268,3284537,455,138153,125139064,39079,0,669,228401
1522222703.8,16187.7,2588,40,1059,3286414,455,138155,125139064,39079,0,669,228403
1522222704.9,16188.0,70151,29,1153,3288271,455,138164,125139064,39079,0,669,228405
1522222706.1,16167.6,57436,47,1373,3290091,455,138172,125139064,39079,0,669,228407
1522222707.2,16194.0,135809,62,2398,3291815,455,138196,125139064,39079,0,669,228408
1522222708.4,16141.8,322103,159,3629,3293596,455,138246,125139064,39079,0,669,228410
1522222709.4,16045.6,713532,735,6098,3295174,455,138320,125139078,39079,0,669,228412
1522222710.5,16037.1,2457796,2601,44274,3296348,455,138556,125139258,39079,0,669,228416
1522222711.5,16022.5,3116384,2503,37929,3297457,455,138834,125139471,39079,0,669,228422
1522222712.5,16021.5,2645602,1344,15659,3298294,455,139051,125140013,39079,0,669,228425
1522222713.6,16015.2,72427,1602,27131,3298665,455,139101,125141179,39079,0,669,228427
1522222714.6,16012.7,73422,1727,27508,3299021,455,139151,125142347,39079,0,669,228428
1522222715.6,16025.1,70561,1990,26704,3299420,455,139205,125143482,39079,0,669,228430
1522222716.6,16022.5,67954,1564,26192,3299784,455,139254,125144657,39079,0,669,228430
1522222717.7,16022.9,69422,1341,26982,3300168,455,139307,125145814,39079,0,669,228431
1522222718.7,16028.9,29026,453,11687,3300340,455,139377,125147194,39079,0,669,228432
1522222719.7,16027.1,218,4,483,3300354,455,139468,125148731,39079,0,669,228432
1522222720.8,16085.3,6583,1419,251933,3300516,455,139552,125150160,39079,0,669,228433
1522222721.9,16143.8,1228,38,2713,3302287,455,139609,125150160,39079,0,669,228436
1522222723.2,16353.3,1417,18,3203,3304154,455,139657,125150160,39079,0,669,228440
1522222724.4,16156.6,2104,70,1230,3306108,455,139678,125150160,39079,0,669,228444
1522222725.6,16077.6,2345,31,892,3307994,455,139679,125150160,39079,0,669,228446
1522222726.8,16030.9,2493,35,866,3309824,455,139680,125150160,39079,0,669,228447
1522222728.0,16058.0,2512,23,955,3311786,455,139682,125150160,39079,0,669,228451
1522222729.3,16333.6,2452,13,849,3313793,455,139684,125150160,39079,0,669,228453
1522222730.6,16384.9,2590,36,1245,3315690,455,139685,125150160,39079,0,669,228456
1522222731.8,16161.2,2476,18,1032,3317642,455,139687,125150160,39079,0,669,228459
1522222733.0,16177.8,3145,23,1388,3319537,455,139693,125150160,39079,0,669,228461
1522222734.2,16157.7,2612,41,1134,3321404,455,139695,125150160,39079,0,669,228463
1522222735.3,16220.5,2528,45,922,3323179,455,139697,125150160,39079,0,669,228465
1522222736.5,16262.5,2854,50,1094,3325021,455,139698,125150160,39079,0,669,228468
1522222737.7,16207.3,2868,37,1065,3326876,455,139700,125150160,39079,0,669,228471
1522222738.9,16191.5,2754,32,817,3328773,455,139710,125150160,39079,0,669,228473
1522222740.1,16023.6,2509,23,893,3330621,455,139713,125150160,39079,0,669,228476
1522222741.3,16017.0,2516,19,1000,3332452,455,139714,125150160,39079,0,669,228480
1522222742.4,16159.6,64635,30,1618,3334269,455,139725,125150160,39079,0,669,228482
1522222743.6,16132.4,10342,34,1692,3336007,455,139733,125150160,39079,0,669,228483
1522222744.7,16031.2,67807,24,1305,3337732,455,139749,125150160,39079,0,669,228486
1522222745.8,16373.9,137376,91,1686,3339453,455,139778,125150161,39079,0,669,228488
1522222746.9,16254.0,81894,80,1911,3341232,455,139794,125150165,39079,0,669,228490
1522222748.0,16057.8,2459227,1176,10186,3342678,455,139974,125150238,39079,0,669,228494
1522222749.1,16015.2,3491290,1423,12364,3343918,455,140236,125150346,39079,0,669,228498
1522222750.1,16014.2,4087393,1786,21663,3344983,455,140537,125150576,39079,0,669,228503
1522222751.1,16016.5,3705843,1019,13814,3345777,455,140807,125151112,39079,0,669,228508
1522222752.1,16020.1,71027,136,25946,3346109,455,140857,125152328,39079,0,669,228508
1522222753.2,16047.9,75777,29,28242,3346501,455,140907,125153482,39079,0,669,228517
1522222754.2,16019.3,67880,61,25707,3346865,455,140959,125154606,39079,0,669,228535
1522222755.2,16027.8,65519,60,25563,3347286,455,141005,125155740,39079,0,669,228541
1522222756.2,16028.3,57171,176,22821,3347714,455,141049,125156879,39079,0,669,228544
1522222757.3,16067.8,24831,16,11173,3347893,455,141118,125158259,39079,0,669,228546
1522222758.3,16030.3,128,3,217,3347907,455,141210,125159796,39079,0,669,228546
1522222759.4,16062.3,6765,1386,252097,3348498,455,141296,125160836,39079,0,669,228547
1522222760.7,16283.7,1343,15,203,3350424,455,141354,125160836,39079,0,669,228549
1522222761.9,16081.8,1338,28,3203,3352256,455,141402,125160836,39079,0,669,228551
1522222763.1,16276.6,2349,41,1837,3354207,455,141418,125160836,39079,0,669,228554
1522222764.3,16105.8,2371,21,1050,3356035,455,141420,125160836,39079,0,669,228557
1522222765.5,16094.9,2571,26,1121,3357930,455,141421,125160836,39079,0,669,228561
1522222766.8,16095.3,2581,24,1505,3359887,455,141423,125160836,39079,0,669,228563
1522222768.0,16115.9,2619,29,1171,3361770,455,141424,125160836,39079,0,669,228565
1522222769.1,16020.0,2342,31,854,3363625,455,141427,125160836,39079,0,669,228567
1522222770.4,16083.7,2601,20,887,3365595,455,141434,125160836,39079,0,669,228570
1522222771.6,16257.3,2624,31,1169,3367487,455,141435,125160836,39079,0,669,228573
1522222772.8,16109.1,2696,13,1318,3369392,455,141437,125160836,39079,0,669,228575
1522222774.0,16289.3,2645,13,914,3371296,455,141439,125160836,39079,0,669,228576
1522222775.3,16188.5,2825,16,829,3373225,455,141444,125160836,39079,0,669,228580
1522222776.5,16092.8,2662,12,900,3375162,455,141449,125160836,39079,0,669,228582
1522222777.7,16095.3,2547,22,944,3377053,455,141453,125160836,39079,0,669,228586
1522222779.0,16211.7,2464,17,1105,3379031,455,141455,125160836,39079,0,669,228587
1522222780.2,16259.9,2647,10,1255,3380954,455,141456,125160836,39079,0,669,228589
1522222781.4,16177.2,3156,15,1146,3382850,455,141459,125160836,39079,0,669,228590
1522222782.5,16237.0,22223,9,1372,3384673,455,141469,125160836,39079,0,669,228592
1522222783.7,16027.1,88473,43,2142,3386427,455,141491,125160836,39079,0,669,228594
1522222784.8,16019.8,291548,231,2120,3388158,455,141527,125160844,39079,0,669,228597
1522222785.9,16213.8,1618567,824,11632,3389671,455,141651,125160890,39079,0,669,228598
1522222786.9,16026.6,3971131,1582,21242,3390797,455,141947,125161077,39079,0,669,228602
1522222788.0,16019.2,4559819,1836,86276,3391768,455,142318,125161312,39079,0,669,228607
1522222789.0,16019.3,5076727,1275,182399,3392740,455,142733,125161520,39079,0,669,228612
1522222790.0,16031.8,4729874,1512,158587,3393701,455,143127,125161753,39079,0,669,228616
1522222791.0,16021.6,4689800,961,221572,3394552,455,143515,125162097,39079,0,669,228621
1522222792.1,16017.7,88484,3,361601,3395055,455,143724,125163009,39079,0,669,228621
1522222793.1,16026.5,79593,3,365780,3395597,455,143925,125163892,39079,0,669,228621
1522222794.1,16024.0,131908,4,554753,3395962,455,144219,125164853,39079,0,669,228622
1522222795.2,16032.9,54581,3,298635,3396354,455,144408,125165914,39079,0,669,228622
1522222796.2,16028.0,876,156,27111,3396380,455,144484,125167453,39079,0,669,228622
1522222797.3,16123.2,6301,1198,214598,3397340,455,144579,125168146,39079,0,669,228623
1522222798.5,16144.1,1388,27,3180,3399216,455,144646,125168146,39079,0,669,228627
1522222799.7,16019.8,1825,26,1224,3401028,455,144678,125168146,39079,0,669,228630
1522222800.9,16208.7,2570,29,3127,3402899,455,144681,125168146,39079,0,669,228632
1522222802.1,16298.2,2562,21,4172,3404812,455,144683,125168146,39079,0,669,228635
1522222803.4,16227.5,2715,15,2433,3406796,455,144685,125168146,39079,0,669,228637
1522222804.6,16272.9,2642,11,1620,3408730,455,144686,125168146,39079,0,669,228640
1522222805.9,16418.4,2983,10,1983,3410685,455,144688,125168146,39079,0,669,228641
1522222807.2,16097.0,2712,11,1375,3412731,455,144691,125168146,39079,0,669,228643
1522222808.5,16172.3,2912,19,2250,3414728,455,144726,125168146,39079,0,670,228646
1522222809.8,16174.6,2621,25,6345,3416707,455,144733,125168146,39079,0,670,228647
1522222811.0,16305.0,2627,10,1647,3418617,455,144734,125168146,39079,0,670,228649
1522222812.2,16304.1,2810,16,1629,3420586,455,144736,125168146,39079,0,670,228651
1522222813.4,16086.1,3130,19,1924,3422419,455,144744,125168146,39079,0,670,228657
1522222814.7,16160.3,2501,13,1716,3424372,455,144749,125168146,39079,0,670,228658
1522222815.9,16220.0,2788,7,3609,3426350,455,144750,125168146,39079,0,670,228662
1522222817.2,16179.1,2796,16,2360,3428320,455,144754,125168146,39079,0,670,228663
1522222818.4,16077.9,2607,12,1723,3430259,455,144756,125168146,39079,0,670,228665
1522222819.6,16018.3,3565,15,3093,3432043,455,144760,125168146,39079,0,670,228668
1522222820.7,16062.5,3310,8,4624,3433772,455,144767,125168146,39079,0,670,228670
1522222821.8,16438.0,201521,87,12345,3435521,455,144792,125168148,39079,0,670,228672
1522222822.9,16232.7,264412,117,7068,3437231,455,144824,125168155,39079,0,670,228673
1522222824.0,16215.7,968407,240,11008,3438818,455,144899,125168158,39079,0,670,228675
1522222825.0,16037.4,3386750,832,31462,3440129,455,145158,125168262,39079,0,670,228677
1522222826.1,16020.1,4850779,1373,74259,3441133,455,145530,125168479,39079,0,670,228685
1522222827.1,16030.9,3784229,957,78952,3441965,455,145840,125168935,39079,0,670,228689
1522222828.1,16027.3,4602,3,10742,3442375,455,145871,125170136,39079,0,670,228689
1522222829.2,16020.2,3203,2,176,3442788,455,145888,125171349,39079,0,670,228689
1522222830.2,16020.5,4531,3,14110,3443193,455,145909,125172560,39079,0,670,228689
1522222831.2,16030.8,2443,3,2389,3443612,455,145967,125173722,39079,0,670,228689
1522222832.2,16024.8,4666,928,148943,3443841,455,146041,125175051,39079,0,670,228689
1522222833.3,16152.7,3532,600,94333,3445141,455,146115,125175396,39079,0,670,228690
1522222834.5,16142.9,1272,20,203,3446953,455,146171,125175396,39079,0,670,228692
1522222835.7,16204.0,1459,29,3779,3448777,455,146210,125175396,39079,0,670,228693
1522222836.9,16151.2,2370,8,4603,3450664,455,146213,125175396,39079,0,670,228696
1522222838.2,16320.3,2265,12,3183,3452653,455,146215,125175396,39079,0,670,228700
1522222839.4,16349.5,2354,21,2543,3454620,455,146218,125175396,39079,0,670,228702
1522222840.7,16339.5,2389,18,3098,3456625,455,146221,125175396,39079,0,670,228704
1522222841.9,16128.7,2330,17,6006,3458544,455,146224,125175396,39079,0,670,228707
1522222843.1,16221.3,2217,8,4214,3460430,455,146226,125175396,39079,0,670,228710
1522222844.4,16019.8,2367,8,3196,3462330,455,146228,125175396,39079,0,670,228713
1522222845.6,16214.6,2614,12,1855,3464277,455,146235,125175396,39079,0,670,228716
1522222846.9,16369.0,2659,10,5327,3466212,455,146237,125175396,39079,0,670,228719
1522222848.1,16430.1,2781,12,3543,3468206,455,146239,125175396,39079,0,670,228723
1522222849.4,16033.6,2377,10,3834,3470229,455,146241,125175396,39079,0,670,228725
1522222850.7,16048.5,2896,11,3818,3472220,455,146247,125175396,39079,0,670,228727
1522222852.0,16288.9,2474,12,3408,3474220,455,146256,125175396,39079,0,670,228732
1522222853.2,16305.6,2229,13,3347,3476197,455,146259,125175396,39079,0,670,228736
1522222854.5,16636.7,3799,13,10744,3478148,455,146263,125175396,39079,0,670,228738
1522222855.7,16099.3,2313,9,4804,3480046,455,146266,125175396,39079,0,670,228741
1522222856.9,16139.9,63455,13,5260,3481893,455,146294,125175396,39079,0,670,228743
1522222858.0,16251.8,171267,25,4322,3483641,455,146317,125175399,39079,0,670,228745
