time,cpu-clock,context-switches,cpu-migrations,page-faults,user,nice,system,idle,iowait,irq,softirq,steal
1522213314.6,16069.7,77,1,10,550274,455,36525,113325136,19519,0,316,58644
1522213315.6,16041.8,79,3,203,550275,455,36529,113326803,19519,0,316,58646
1522213316.7,16029.2,133,4,174,550276,455,36531,113328459,19519,0,316,58647
1522213317.7,16055.9,87,3,203,550276,455,36534,113330118,19519,0,316,58650
1522213318.7,16024.0,77,2,44,550277,455,36537,113331773,19519,0,316,58652
1522213319.8,16028.7,90,1,10,550278,455,36540,113333428,19519,0,316,58655
1522213320.8,16032.6,115,3,10,550279,455,36542,113335082,19519,0,316,58657
1522213321.9,16038.5,104,3,208,550280,455,36545,113336744,19519,0,316,58659
1522213322.9,16031.6,76,2,10,550280,455,36548,113338408,19519,0,316,58661
1522213323.9,16018.0,102,2,28,550281,455,36552,113340072,19519,0,316,58664
1522213325.0,16039.6,126,3,203,550282,455,36554,113341730,19519,0,316,58666
1522213326.0,16072.3,79,2,86,550283,455,36558,113343397,19519,0,316,58668
1522213327.1,16039.5,80,1,203,550283,455,36561,113345054,19519,0,316,58669
1522213328.1,16041.6,77,1,203,550284,455,36563,113346711,19519,0,316,58671
1522213329.1,16025.8,114,2,10,550285,455,36566,113348360,19519,0,316,58673
1522213330.2,16093.5,81,3,203,550286,455,36570,113350045,19519,0,316,58676
1522213331.2,16039.2,79,1,203,550286,455,36572,113351692,19519,0,316,58677
1522213332.3,16024.3,102,0,62,550287,455,36574,113353340,19519,0,316,58681
1522213333.3,16027.8,82,2,192,550288,455,36576,113354989,19519,0,316,58681
1522213334.3,16045.9,77,1,203,550289,455,36578,113356642,19519,0,316,58683
1522213335.4,16042.8,75,3,174,550289,455,36581,113358295,19519,0,316,58685
1522213336.4,16027.7,112,2,10,550290,455,36583,113359941,19519,0,316,58686
1522213337.4,16037.1,109,1,203,550290,455,36586,113361591,19519,0,316,58687
1522213338.5,16033.6,78,3,204,550291,455,36588,113363245,19519,0,316,58687
1522213339.5,16031.3,89,2,174,550292,455,36591,113364896,19519,0,316,58689
1522213340.5,16034.5,126,3,202,550293,455,36594,113366560,19519,0,316,58690
1522213341.6,16022.6,86,1,44,550294,455,36596,113368212,19519,0,316,58692
1522213342.6,16019.4,88,1,10,550294,455,36599,113369863,19519,0,316,58693
1522213343.7,16034.0,101,2,221,550295,455,36601,113371516,19519,0,316,58694
1522213344.7,16011.1,115,0,10,550296,455,36604,113373167,19519,0,316,58696
1522213345.7,16033.4,87,2,203,550296,455,36606,113374813,19519,0,316,58696
1522213346.8,16035.9,80,3,203,550297,455,36609,113376468,19519,0,316,58699
1522213347.8,16011.8,72,2,10,550298,455,36612,113378129,19519,0,316,58701
1522213348.8,16042.1,110,4,202,550299,455,36615,113379790,19519,0,316,58704
1522213349.9,16026.5,137,4,383,550300,455,36617,113381443,19519,0,316,58706
1522213350.9,16039.6,80,1,203,550301,455,36620,113383103,19519,0,316,58707
1522213352.0,16036.8,90,1,203,550302,455,36622,113384756,19519,0,316,58708
1522213353.0,16019.2,155,3,11,550303,455,36625,113386416,19519,0,316,58710
1522213354.0,16039.2,323,46,7318,550304,455,36631,113388064,19519,0,316,58713
1522213355.1,16025.7,70,2,10,550305,455,36634,113389729,19519,0,316,58713
1522213356.1,16037.0,157,6,586,550306,455,36636,113391388,19519,0,316,58717
